ObjectId,Country,ISO2,ISO3,Indicator,Source,CTS_Code,CTS_Name,CTS_Full_Descriptor,Bond_Type,Type_of_Issuer,Use_of_Proceed,Principal_Currency,Unit,F2006,F2007,F2008,F2009,F2010,F2011,F2012,F2013,F2014,F2015,F2016,F2017,F2018,F2019,F2020,F2021,F2022,F2023,F2024
353,Vietnam,VN,VNM,Green Bond Issuances by Country,"Refinitiv; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Climate Finance, Green Bonds, Green Bonds Issuances ",Green Bonds,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,0.14121369,,,,,0.2,0.06762054,,0.078864353
354,Vietnam,VN,VNM,Sustainability Bond Issuances by Country,"Refinitiv; Country authorities; IMF staff calculations.",,,,Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,,0.425,,,
355,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Argentinian Peso,Billion US Dollars,,,,,,,,,,,,,,,,,,,0.160896524
356,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Argentinian Peso,Share,,,,,,,,,,,,,,,,,,,0.0045410576859397
357,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Australian Dollar,Billion US Dollars,,,,,,,,,,,,,,,,,,,49.619253941
358,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Australian Dollar,Share,,,,,,,,,,,,,,,,,,,1.40042736087558
359,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Bangladeshi Taka,Billion US Dollars,,,,,,,,,,,,,,,,,,,0.246103363
360,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Bangladeshi Taka,Share,,,,,,,,,,,,,,,,,,,0.0069458900683695
361,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Brazilian Real,Billion US Dollars,,,,,,,,,,,,,,,,,,,13.242620606
362,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Brazilian Real,Share,,,,,,,,,,,,,,,,,,,0.373752661585533
363,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,British Pound,Billion US Dollars,,,,,,,,,,,,,,,,,,,135.161211921
364,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,British Pound,Share,,,,,,,,,,,,,,,,,,,3.81471796267513
365,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Canadian Dollar,Billion US Dollars,,,,,,,,,,,,,,,,,,,72.514300369
366,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Canadian Dollar,Share,,,,,,,,,,,,,,,,,,,2.04660494114337
367,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Chilean Peso,Billion US Dollars,,,,,,,,,,,,,,,,,,,0.02653111
368,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Chilean Peso,Share,,,,,,,,,,,,,,,,,,,0.0007487998993813
369,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Chilean Unidad de Fomento,Billion US Dollars,,,,,,,,,,,,,,,,,,,0.569774
370,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Chilean Unidad de Fomento,Share,,,,,,,,,,,,,,,,,,,0.0160809975108514
371,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Chinese Yuan,Billion US Dollars,,,,,,,,,,,,,,,,,,,478.590932823
372,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Chinese Yuan,Share,,,,,,,,,,,,,,,,,,,13.5074952515256
373,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Colombian Peso,Billion US Dollars,,,,,,,,,,,,,,,,,,,4.16257267
374,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Colombian Peso,Share,,,,,,,,,,,,,,,,,,,0.117482231103926
375,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Colombian Unidad de Valor Real,Billion US Dollars,,,,,,,,,,,,,,,,,,,0.046389984
376,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Colombian Unidad de Valor Real,Share,,,,,,,,,,,,,,,,,,,0.0013092861682569
377,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Costa Rican Colon,Billion US Dollars,,,,,,,,,,,,,,,,,,,0.0080522
378,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Costa Rican Colon,Share,,,,,,,,,,,,,,,,,,,0.0002272609984956
379,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Czech Koruna,Billion US Dollars,,,,,,,,,,,,,,,,,,,0.098818823
380,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Czech Koruna,Share,,,,,,,,,,,,,,,,,,,0.0027890097594629
381,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Danish Krone,Billion US Dollars,,,,,,,,,,,,,,,,,,,32.102985187
382,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Danish Krone,Share,,,,,,,,,,,,,,,,,,,0.906057533132517
383,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Dominican Peso,Billion US Dollars,,,,,,,,,,,,,,,,,,,0.013400124
384,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Dominican Peso,Share,,,,,,,,,,,,,,,,,,,0.0003781979533799
385,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Euro,Billion US Dollars,,,,,,,,,,,,,,,,,,,1568.131507175
386,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Euro,Share,,,,,,,,,,,,,,,,,,,44.2581073611096
387,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Fijian Dollar,Billion US Dollars,,,,,,,,,,,,,,,,,,,0.051528034
388,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Fijian Dollar,Share,,,,,,,,,,,,,,,,,,,0.0014542997512927
389,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Georgian Lari,Billion US Dollars,,,,,,,,,,,,,,,,,,,0.007207207
390,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Georgian Lari,Share,,,,,,,,,,,,,,,,,,,0.0002034123667053
391,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Hong Kong Dollar,Billion US Dollars,,,,,,,,,,,,,,,,,,,12.592706772
392,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Hong Kong Dollar,Share,,,,,,,,,,,,,,,,,,,0.355409840139097
393,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Hungarian Forint,Billion US Dollars,,,,,,,,,,,,,,,,,,,3.46975064
394,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Hungarian Forint,Share,,,,,,,,,,,,,,,,,,,0.0979283916168781
395,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Icelandic Krona,Billion US Dollars,,,,,,,,,,,,,,,,,,,1.058021574
396,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Icelandic Krona,Share,,,,,,,,,,,,,,,,,,,0.0298610366529907
397,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Indian Rupee,Billion US Dollars,,,,,,,,,,,,,,,,,,,10.150754242
398,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Indian Rupee,Share,,,,,,,,,,,,,,,,,,,0.286489474245695
399,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Indonesian Rupiah,Billion US Dollars,,,,,,,,,,,,,,,,,,,6.117580813
400,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Indonesian Rupiah,Share,,,,,,,,,,,,,,,,,,,0.172659338310076
401,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Japanese Yen,Billion US Dollars,,,,,,,,,,,,,,,,,,,80.467180671
402,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Japanese Yen,Share,,,,,,,,,,,,,,,,,,,2.27106279345071
403,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Kazakhstani Tenge,Billion US Dollars,,,,,,,,,,,,,,,,,,,0.227214597
404,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Kazakhstani Tenge,Share,,,,,,,,,,,,,,,,,,,0.0064127836103193
405,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Kenyan Shilling,Billion US Dollars,,,,,,,,,,,,,,,,,,,0.00609775
406,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Kenyan Shilling,Share,,,,,,,,,,,,,,,,,,,0.0001720996440198
407,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Macanese Pataca,Billion US Dollars,,,,,,,,,,,,,,,,,,,0.374746399
408,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Macanese Pataca,Share,,,,,,,,,,,,,,,,,,,0.010576642510047
409,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Malaysian Ringgit,Billion US Dollars,,,,,,,,,,,,,,,,,,,2.906781681
410,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Malaysian Ringgit,Share,,,,,,,,,,,,,,,,,,,0.0820394559540265
411,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Mexican Peso,Billion US Dollars,,,,,,,,,,,,,,,,,,,5.454111154
412,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Mexican Peso,Share,,,,,,,,,,,,,,,,,,,0.153933924488272
413,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Mexican Unidad de Inversion,Billion US Dollars,,,,,,,,,,,,,,,,,,,0.432789278
414,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Mexican Unidad de Inversion,Share,,,,,,,,,,,,,,,,,,,0.0122148137721995
415,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Moroccan Dirham,Billion US Dollars,,,,,,,,,,,,,,,,,,,0.117694313
416,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Moroccan Dirham,Share,,,,,,,,,,,,,,,,,,,0.0033217415227693
417,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Namibian Dollar,Billion US Dollars,,,,,,,,,,,,,,,,,,,0.003583548
418,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Namibian Dollar,Share,,,,,,,,,,,,,,,,,,,0.0001011401476164
419,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,New Zealand Dollar,Billion US Dollars,,,,,,,,,,,,,,,,,,,11.639885853
420,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,New Zealand Dollar,Share,,,,,,,,,,,,,,,,,,,0.328517930668454
421,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Nigerian Naira,Billion US Dollars,,,,,,,,,,,,,,,,,,,0.048016585
422,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Nigerian Naira,Share,,,,,,,,,,,,,,,,,,,0.0013551944874013
423,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Norwegian Krone,Billion US Dollars,,,,,,,,,,,,,,,,,,,35.592169569
424,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Norwegian Krone,Share,,,,,,,,,,,,,,,,,,,1.00453441231943
425,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Peruvian Sol,Billion US Dollars,,,,,,,,,,,,,,,,,,,0.163665078
426,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Peruvian Sol,Share,,,,,,,,,,,,,,,,,,,0.0046191958775432
427,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Philippine Peso,Billion US Dollars,,,,,,,,,,,,,,,,,,,1.090153621
428,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Philippine Peso,Share,,,,,,,,,,,,,,,,,,,0.0307679144112344
429,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Polish Zloty,Billion US Dollars,,,,,,,,,,,,,,,,,,,3.049430844
430,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Polish Zloty,Share,,,,,,,,,,,,,,,,,,,0.0860655098545696
431,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Romanian Leu,Billion US Dollars,,,,,,,,,,,,,,,,,,,0.736268876
432,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Romanian Leu,Share,,,,,,,,,,,,,,,,,,,0.0207800600979921
433,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Russian Ruble,Billion US Dollars,,,,,,,,,,,,,,,,,,,3.933809217
434,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Russian Ruble,Share,,,,,,,,,,,,,,,,,,,0.11102573340788
435,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Singapore Dollar,Billion US Dollars,,,,,,,,,,,,,,,,,,,17.313882054
436,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Singapore Dollar,Share,,,,,,,,,,,,,,,,,,,0.488657773456755
437,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,South African Rand,Billion US Dollars,,,,,,,,,,,,,,,,,,,3.195253613
438,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,South African Rand,Share,,,,,,,,,,,,,,,,,,,0.0901811339183466
439,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,South Korean Won,Billion US Dollars,,,,,,,,,,,,,,,,,,,26.215914673
440,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,South Korean Won,Share,,,,,,,,,,,,,,,,,,,0.739903994568384
441,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Sri Lankan Rupee,Billion US Dollars,,,,,,,,,,,,,,,,,,,0.004851945
442,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Sri Lankan Rupee,Share,,,,,,,,,,,,,,,,,,,0.0001369387080979
