ObjectId,Country,ISO2,ISO3,Indicator,Source,CTS_Code,CTS_Name,CTS_Full_Descriptor,Bond_Type,Type_of_Issuer,Use_of_Proceed,Principal_Currency,Unit,F2006,F2007,F2008,F2009,F2010,F2011,F2012,F2013,F2014,F2015,F2016,F2017,F2018,F2019,F2020,F2021,F2022,F2023,F2024
18,Bangladesh,BD,BGD,Green Bond Issuances by Country,"Refinitiv; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Climate Finance, Green Bonds, Green Bonds Issuances ",Green Bonds,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,,0.246103363,,,
19,"Belarus, Rep. of",BY,BLR,Green Bond Issuances by Country,"Refinitiv; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Climate Finance, Green Bonds, Green Bonds Issuances ",Green Bonds,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,,,0.056388539,,
20,"Belarus, Rep. of",BY,BLR,Sovereign Green Bond Issuances,"Refinitiv; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,,,0.056388539,,
21,Belgium,BE,BEL,Green Bond Issuances by Country,"Refinitiv; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Climate Finance, Green Bonds, Green Bonds Issuances ",Green Bonds,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,12.917675774,,1.37694713,22.406270582,50.10719402,4.251240772,22.563035311
22,Belgium,BE,BEL,Social Bond Issuances by Country,"Refinitiv; Country authorities; IMF staff calculations.",,,,Social Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,47.583689771,48.908319508,10.764425569,4.166982765,2.363497556
23,Belgium,BE,BEL,Sovereign Green Bond Issuances,"Refinitiv; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,12.392675249,,,,8.162432938,,
24,Belgium,BE,BEL,Sustainability Bond Issuances by Country,"Refinitiv; Country authorities; IMF staff calculations.",,,,Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,0.057750057,,0.522897689,2.300749833,2.426245279,1.969155252,1.830141913,1.568693069,1.699417491
25,Benin,BJ,BEN,Social Bond Issuances by Country,"Refinitiv; Country authorities; IMF staff calculations.",,,,Social Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,0.638880438,,0.375239168,,
26,Benin,BJ,BEN,Sovereign Social Bond Issuances,"Refinitiv; Country authorities; IMF staff calculations.",,,,Social Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,0.638880438,,0.375239168,,
27,Benin,BJ,BEN,Sovereign Sustainability Bond Issuances,"Refinitiv; Country authorities; IMF staff calculations.",,,,Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,,1.045795378,,,
28,Benin,BJ,BEN,Sustainability Bond Issuances by Country,"Refinitiv; Country authorities; IMF staff calculations.",,,,Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,,1.045795378,,,
29,Bermuda,BM,BMU,Green Bond Issuances by Country,"Refinitiv; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Climate Finance, Green Bonds, Green Bonds Issuances ",Green Bonds,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,0.096211996,0.128984409,0.954797523,0.45,2.96,1.95,,1.00678292,0.333398004
30,Bermuda,BM,BMU,Sustainability Bond Issuances by Country,"Refinitiv; Country authorities; IMF staff calculations.",,,,Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,,,,,0.194929132
31,Bermuda,BM,BMU,Sustainability Linked Bond Issuances by Country,"Refinitiv; Country authorities; IMF staff calculations.",,,,Linked Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,,0.15,,0.15,0.246550392
32,Bolivia,BO,BOL,Sustainability Bond Issuances by Country,"Refinitiv; Country authorities; IMF staff calculations.",,,,Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,,,,0.05653861,0.353780398
33,Brazil,BR,BRA,Green Bond Issuances by Country,"Refinitiv; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Climate Finance, Green Bonds, Green Bonds Issuances ",Green Bonds,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,1.051005286,0.034240712,2.077512777,0.139662409,1.080341467,0.640879911,2.524399566,2.575400339,2.511327167,1.631906656
34,Brazil,BR,BRA,Social Bond Issuances by Country,"Refinitiv; Country authorities; IMF staff calculations.",,,,Social Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,0.008647156,0.339274212,,0.017445917,
35,Brazil,BR,BRA,Sovereign Sustainability Bond Issuances,"Refinitiv; Country authorities; IMF staff calculations.",,,,Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,,,,2,2
36,Brazil,BR,BRA,Sustainability Bond Issuances by Country,"Refinitiv; Country authorities; IMF staff calculations.",,,,Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,0.411463393,,1.033835062,4.597096851,4.698497564
37,Brazil,BR,BRA,Sustainability Linked Bond Issuances by Country,"Refinitiv; Country authorities; IMF staff calculations.",,,,Linked Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,,2.319555912,1.923013339,0.302928297,
38,British Virgin Islands,VG,VGB,Green Bond Issuances by Country,"Refinitiv; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Climate Finance, Green Bonds, Green Bonds Issuances ",Green Bonds,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,0.276590742,,,,0.4,0.5,2.605933627,1.463517927,1.423659618,5.580390519,3.271669278,1.32793829,2.641617528
39,British Virgin Islands,VG,VGB,Social Bond Issuances by Country,"Refinitiv; Country authorities; IMF staff calculations.",,,,Social Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,,,0.2,,0.110343305
40,British Virgin Islands,VG,VGB,Sustainability Bond Issuances by Country,"Refinitiv; Country authorities; IMF staff calculations.",,,,Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,,0.3,,1.191438344,1.734939317
41,British Virgin Islands,VG,VGB,Sustainability Linked Bond Issuances by Country,"Refinitiv; Country authorities; IMF staff calculations.",,,,Linked Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,,0.2,2.2,,
42,Burkina Faso,BF,BFA,Social Bond Issuances by Country,"Refinitiv; Country authorities; IMF staff calculations.",,,,Social Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,0.209339773,1.168444847,0.425457489,,
43,Burkina Faso,BF,BFA,Sovereign Social Bond Issuances,"Refinitiv; Country authorities; IMF staff calculations.",,,,Social Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,0.209339773,1.168444847,0.425457489,,
44,Canada,CA,CAN,Green Bond Issuances by Country,"Refinitiv; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Climate Finance, Green Bonds, Green Bonds Issuances ",Green Bonds,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,1.159388572,0.458227848,1.08315863,2.772192708,5.936608123,6.451086879,9.499570207,15.792131148,14.234344614,7.178352331,19.29961155
45,Canada,CA,CAN,Social Bond Issuances by Country,"Refinitiv; Country authorities; IMF staff calculations.",,,,Social Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,0.68851556,,0.140646976,0.55537864,0.668073136,,0.522897689
46,Canada,CA,CAN,Sovereign Green Bond Issuances,"Refinitiv; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,,,3.516174402,,4.219409282
47,Canada,CA,CAN,Sovereign Social Bond Issuances,"Refinitiv; Country authorities; IMF staff calculations.",,,,Social Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,,,0.35161744,,
48,Canada,CA,CAN,Sustainability Bond Issuances by Country,"Refinitiv; Country authorities; IMF staff calculations.",,,,Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,2.113143516,0.77088991,2.466224558,4.257328498,3.342213193,2.618196514
49,Canada,CA,CAN,Sustainability Linked Bond Issuances by Country,"Refinitiv; Country authorities; IMF staff calculations.",,,,Linked Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,,2.300984528,2.6580872,3.53066104,
50,Cayman Islands,KY,CYM,Green Bond Issuances by Country,"Refinitiv; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Climate Finance, Green Bonds, Green Bonds Issuances ",Green Bonds,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,0.3,,1.6,1.956723814,1.274562038,3.300615255,6.28210746,10.235113432,6.991029916,10.98221067,4.637929132
51,Cayman Islands,KY,CYM,Social Bond Issuances by Country,"Refinitiv; Country authorities; IMF staff calculations.",,,,Social Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,0.5,0.2,,,,,,,1.016123051,0.04777205,
52,Cayman Islands,KY,CYM,Sustainability Bond Issuances by Country,"Refinitiv; Country authorities; IMF staff calculations.",,,,Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,0.9208,6.831757479,3.277364273,3.63,8.73
53,Cayman Islands,KY,CYM,Sustainability Linked Bond Issuances by Country,"Refinitiv; Country authorities; IMF staff calculations.",,,,Linked Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,0.6,0.4,,1.2,0.137826476
54,Chile,CL,CHL,Green Bond Issuances by Country,"Refinitiv; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Climate Finance, Green Bonds, Green Bonds Issuances ",Green Bonds,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,1,,5.573299069,2.827132115,5.8718,1.439357248,2.610970478,4.291651999
55,Chile,CL,CHL,Social Bond Issuances by Country,"Refinitiv; Country authorities; IMF staff calculations.",,,,Social Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,0.264767124,0.090512481,0.039308,0.04159604,1.764974785,14.42230584,0.1127432,5.496676013,8.010371713
